Filename,ResolutionUnit,ExifOffset,YCbCrPositioning,XResolution,YResolution,ExifVersion,ComponentsConfiguration,FlashPixVersion,ColorSpace,ExifImageWidth,ExifImageHeight,SceneCaptureType,Software,ImageUniqueID,DateTimeOriginal,ExifInteroperabilityOffset,Make,Model,DateTime,ShutterSpeedValue,ApertureValue,DateTimeDigitized,ExposureBiasValue,MaxApertureValue,MeteringMode,FileSource,Flash,FocalLength,ExposureMode,WhiteBalance,DigitalZoomRatio,FocalPlaneXResolution,FocalPlaneYResolution,FocalPlaneResolutionUnit,SensingMethod,ExposureTime,FNumber,CustomRendered,ISOSpeedRatings,ImageWidth,ImageLength,GPSInfo,Orientation,BrightnessValue,LightSource,UserComment,Saturation,Sharpness,SceneType,ExposureProgram,MakerNote,GainControl,Contrast,ImageDescription,CompressedBitsPerPixel,YCbCrSubSampling,FocalLengthIn35mmFilm,OffsetTime,OffsetTimeOriginal,PrintImageMatching,Tag_59932,SubjectDistanceRange,Tag_59933,SensitivityType,RecommendedExposureIndex,LensSpecification,LensModel,Copyright,Artist,SubsecTime,SubsecTimeOriginal,SubsecTimeDigitized,CameraOwnerName,BodySerialNumber,LensSerialNumber,CFAPattern,ReferenceBlackWhite,PageName,FlashEnergy,DeviceSettingDescription,ExposureIndex,OECF,Compression,PhotometricInterpretation,PlanarConfiguration,SubjectLocation,LensMake,BitsPerSample,SamplesPerPixel,Tag_50898,SubjectDistance,XPTitle,XPSubject,HostComputer
%E3%83%90%E3%83%AB%E3%83%BC%E3%83%B3%E3%83%95%E3%82%A1%E3%82%A4%E3%83%88%20%E3%83%AD%E3%82%B4.jpg,2.0,90.0,1.0,72.0,72.0,b'0221',b'\x01\x02\x03\x00',b'0100',1.0,235.0,214.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.kkrieger%203.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070701204238.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314th%20Fighter%20Squadron%20emblem.jpg,2.0,78.0,,72.0,72.0,,,,,304.0,317.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ace%20Combat%206%20-%20Ace%20Edge.jpg,,50.0,,,,b'0210',,,,,,,Picasa 3.0,347dd3e6693591fb94793a15add4b07d,2007:11:24 18:03:31,158.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
App-augmented-reality-game-gps-163042.jpg,2.0,,,96.0,96.0,,,,,,,,paint.net 4.2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armagetron.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assassin%27s%20Creed%20II%20by%20Reindertot.jpg,3.0,160.0,,500.0,500.0,b'0221',,,,,,0.0,,,2009:11:11 14:11:56,,Canon,Canon PowerShot G10,2009:11:21 20:30:13,10.287712,3.61471,2009:11:11 14:11:56,0.0,3.625,5.0,b'\x03',24.0,12.074,0.0,0.0,1.0,15123.287671232876,11324.20091324201,2.0,2.0,0.0008,3.5,0.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atari%20Adventure%20Easter%20Egg%20on%20Atari%20%28Jakks%20Pacific%29%20Port.jpg,2.0,244.0,1.0,72.0,72.0,b'0220',b'\x01\x02\x03\x00',b'0100',1.0,1280.0,720.0,0.0,I537UCUCOC7,S08QELCGC01,2015:08:23 10:08:04,2496.0,SAMSUNG,SAMSUNG-SGH-I537,2015:08:23 10:08:04,0.03333333333333333,2.76,2015:08:23 10:08:04,0.0,2.76,1.0,,0.0,3.7,0.0,0.0,1.0,,,,2.0,0.03333333333333333,2.6,,80.0,1280.0,720.0,{0: b'\x02\x02\x00\x00'},1.0,72.0,0.0,"b'ASCII\x00\x00\x00KJKJ\x17\x05\x07\x0b\x00\x01\x03\xb3\x00\x01\x00\x00\x00\x00\x00\x00\x00\x00\x91\xa3\x00\x01\x00\x00\x00\x01Xd\x00\x01\x00\x00\x00\x00\xe8*\x00\x04\\n\x00\x05\x94\x90\x00\x03\x1c\xb4\x00\x00\x00\x00\x00\x00\x9eh\x00\x01\x00\x00\x00\x01.0\x00\x01\x9a\xf1\x00\x01\x00\x00\x00\x01*s\x00\x01\xbf\xed\x00\x018#\xff\xff\x07\xf0\x00\x00\xde+\xff\xff\'T\x00\x01\xfa\x81\xff\xff\x13\\\x00\x00a\xee\xff\xff\x8a\xb6\x00\x01KJKJ\x99\x80\x00\t\x11\x91\x00\x01\x11@\x00\x01\x110\x00\x01\x110\x00\x01\x110\x00\x01\x11\x91\x00\x01\x99\x92\x00\t3Q\x00\x033Q\x00\x033Q\x00\x03\x99\x92\x00\t\x99\x92\x00\t\x99\x92\x00\t""\x01\x00\x023Q\x00\x03\x99\x80\x00\t\x11\x91\x00\x01\x11@\x00\x01\x11\x91\x00\x01\x11\x91\x00\x01\x11\x91\x00\x01\x11\x91\x00\x01\x99\x92\x00\t\x99\x92\x00\t\x11\x91\x00\x01\x99\x92\x00\t\x99\x92\x00\t\x99\x92\x00\t\x99\x92\x00\t\x11\x91\x00\x013Q\x00\x03\x11\x91\x00\x01\x11\x91\x00\x01\x11\x91\x00\x01\x99\x81\x00\t\x11\x00\x00\x01\x11\x00\x00\x01\x11\x91\x00\x01\x99\x92\x00\t\x99\x92\x00\t\x99\x92\x00\t\x99\x92\x00\t\x99\x92\x00\t\x99\x92\x00\t\x99\x92\x00\t\x99\x92\x00\t\x99\x92\x00\t\x11\x91\x00\x01\x11\x91\x00\x01\x11\x91\x00\x01\x11\x91\x00\x01""\x01\x00\x02\x88\x02\x00\x08\x88\x02\x00\x08\x88\x02\x00\x08""\x01\x00\x02""\x01\x00\x02\x88\x02\x00\x08\x88\x02\x00\x08\x88\x02\x00\x08\x88\x02\x00\x08""\x01\x00\x02\x99\x92\x00\t\x11\x91\x00\x01\x99\x92\x00\t\x11\x91\x00\x01\x11\x91\x00\x01""\x01\x00\x02\x88\x02\x00\x08""\x01\x00\x02""\x01\x00\x02""\x01\x00\x02""\x01\x00\x02""\x01\x00\x02""\x01\x00\x02""\x01\x00\x02""\x01\x00\x02""\x01\x00\x02\x99\x92\x00\t\x99`\x00\t\x99\x92\x00\t\x99\x92\x00\t\x11\x91\x00\x01""\x01\x00\x02""\x01\x00\x02""\x01\x00\x02""\x01\x00\x02\x11\x00\x00\x01\x11\x00\x00\x01""\x01\x00\x02""\x01\x00\x02""\x01\x00\x02\x11\x00\x00\x01\x11\x00\x00\x01\x99\x92\x00\t3Q\x00\x03\x99\x92\x00\t\x99\x92\x00\t\x11\x91\x00\x01""\x01\x00\x02""\x01\x00\x02""\x01\x00\x02\x11\x00\x00\x01\x99\x81\x00\t\x99\x81\x00\t""\x01\x00\x02""\x01\x00\x02""\x01\x00\x02\x11\x00\x00\x01\x11\x00\x00\x01\x99\x92\x00\t3Q\x00\x03\x99\x92\x00\t\x99\x92\x00\t\x11\x91\x00\x01""\x01\x00\x02""\x01\x00\x02""\x01\x00\x02\x11\x00\x00\x01\x99\x81\x00\t\x99\x81\x00\t\x11\x00\x00\x01""\x01\x00\x02""\x01\x00\x02\x11\x00\x00\x01""\x01\x00\x02\x99\x92\x00\t3Q\x00\x033Q\x00\x03fq\x00\x06\x99\x92\x00\t""\x01\x00\x02""\x01\x00\x02""\x01\x00\x02\x11\x00\x00\x01\x99\x81\x00\t\x99\x81\x00\t\x11\x00\x00\x01""\x01\x00\x02""\x01\x00\x02\x11\x00\x00\x01""\x01\x00\x02\x99\x92\x00\tfa\x00\x06Uq\x00\x05fq\x00\x06\x11\x91\x00\x01\x99\x81\x00\t""\x01\x00\x02""\x01\x00\x02\x11\x00\x00\x01\x99\x81\x00\t\x99\x81\x00\t\x11\x00\x00\x01""\x01\x00\x02""\x01\x00\x02\x11\x00\x00\x01""\x01\x00\x02\x99\x92\x00\t\x99p\x00\t\x99\x81\x00\t\x99\x81\x00\t\x99\x92\x00\t\x99\x81\x00\t""\x01\x00\x02""\x01\x00\x02\x11\x00\x00\x01\x99\x81\x00\t\x11\x00\x00\x01""\x01\x00\x02""\x01\x00\x02""\x01\x00\x02\x11\x00\x00\x01""\x01\x00\x02\x99\x92\x00\t\x99\x81\x00\t\x99\x81\x00\t\x99\x80\x00\t\x99\x80\x00\t\x11\x91\x00\x01""\x01\x00\x02""\x01\x00\x02""\x01\x00\x02\x11\x00\x00\x01""\x01\x00\x02""\x01\x00\x02""\x01\x00\x02""\x01\x00\x02""\x01\x00\x02""\x01\x00\x02\x99\x92\x00\t\x99\x81\x00\t\x99\x92\x00\t\x99\x92\x00\t\x99\x92\x00\t\x99\x92\x00\t""\x01\x00\x02\x88\x02\x00\x08\x88\x02\x00\x08\x88\x02\x00\x08\x88\x02\x00\x08\x88\x02\x00\x08\x88\x02\x00\x08\x88\x02\x00\x08\x88\x02\x00\x08""\x01\x00\x02\x99\x92\x00\t\x99\x81\x00\tfq\x00\x06fq\x00\x06fq\x00\x06fq\x00\x06fq\x00\x06\x99\x92\x00\t\x99\x92\x00\t\x99\x92\x00\t\x99\x92\x00\t\x99\x92\x00\t""\x01\x00\x02\x88\x02\x00\x08\x88\x02\x00\x08\x99\x92\x00\t\x99\x92\x00\t\x99\x81\x00\tfq\x00\x06\x99\x92\x00\t\x99\x92\x00\tfq\x00\x06fq\x00\x06\x99\x92\x00\t\x99\x92\x00\t3Q\x00\x033Q\x00\x03\x99\x92\x00\t\x99\x92\x00\t\x99\x92\x00\t\x99\x92\x00\t\x99\x92\x00\t\x99\x92\x00\tUq\x00\x05Uq\x00\x05fq\x00\x06fq\x00\x06fq\x00\x06\x99`\x00\t\x99\x92\x00\t\x99\x92\x00\t\x99\x92\x00\t\x99\x92\x00\t\x99\x92\x00\t\x99\x92\x00\t\x99\x92\x00\t\x99\x92\x00\t\x99\x92\x00\t\x99\x92\x00\tKJKJ\x95p\x00\x01\xff\xfb\x00\x004]\x00\x01\xaa\xa4\x00\x01\x00\x10\x00\x01\x1f\x8c\x00\x01Ye\x00\x01\x00\x00\x00\x01\xc5W\x00\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00Xl\x00\x01\x00\x00\x00\x01s\x9c\x00\x01b\xf1\x00\x01\x00\x00\x00\x01`%\x00\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x8bS\x00\x01\x00\x00\x00\x01O(\x00\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x9eC\x00\x01\xff\xe9\x00\x00.\x02\x00\x01\x9eC\x00\x01\xff\xe9\x00\x00.\x15\x00\x01\x9eC\x00\x01\xff\xe9\x00\x00.\x15\x00\x01\x9eC\x00\x01\xff\xe9\x00\x00.\x15\x00\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00KJ\x00\x16\x00\x00FAFA\x00\x1c\x80\xd5\x00\x00\x00\x1c\x80\x15\x00\x00\x001!\xca\x00\x01\x00F\x1d\xd1\x00\x03\x00[\x1a=\x00\x04\x00p\xc6\x90\x00\x03\x00p\x11\xa5\x00\x02\x00p\xbb\x84\x00\x03\x00i\xf1\xb1\x00\x03\x00b\xe8\x9b\x00\x03\x00[-\xc9\x00\x04\x00T\x0c(\x00\x02\x00M\x9a_\x00\x03\x00FJ\xea\x00\x03\x01\x81\x00\x00\x00\x00\x01\x81\x00\x00\x00\x00\x01\x81\x00\x00\x00\x00\x01\x81\x00\x00\x00\x00\x01\x81\x00\x00\x00\x00\x01\x81\x00\x00\x00\x00\x01\x81\x00\x00\x00\x00\x01\x81\x00\x00\x00\x00\x01\x81\x00\x00\x00\x00\x01\x81\x00\x00\x00\x00\x01\x81\x00\x00\x00\x00\x01\x81\x00\x00\x00\x00\x01\x81\x00\x00\x00\x00\x01\x81\x00\x00\x00\x00\x01\x81\x00\x00\x00\x00\x01\x81\x00\x00\x00\x00\x01\x81\x00\x00\x00\x00\x01\x81\x00\x00\x00\x00\x01\x81\x00\x00\x00\x00\x01\x81\x00\x00\x00\x00\x01\x81\x00\x00\x00\x00\x01\x81\x00\x00\x00\x00\x01\x81\x00\x00\x00\x00\x01\x81\x00\x00\x00\x00\x01\x81\x00\x00\x00\x00\x01\x81\x00\x00\x00\x00\x00\x00\x00\x00FAFA\x00\x03\x00?\x00\x01\x00*\x02,FAFA\x00\x18'",0.0,0.0,1,3.0,b'\x07\x00\x01\x00\x07\x00\x04\x00\x00\x000100\x02\x00\x04\x00\x01\x00\x00\x00\x00 \x01\x00\x0c\x00\x04\x00\x01\x00\x00\x00\x00\x00\x00\x00\x10\x00\x05\x00\x01\x00\x00\x00Z\x00\x00\x00@\x00\x04\x00\x01\x00\x00\x00\x00\x00\x00\x00P\x00\x04\x00\x01\x00\x00\x00\x01\x00\x00\x00\x00\x01\x03\x00\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bubble%20Bobble%20arcade%20machine.jpg,2.0,367.0,2.0,72.0,72.0,b'0220',b'\x01\x02\x03\x00',b'0100',1.0,1712.0,2288.0,0.0,v753u2-86,,2005:03:09 18:35:28,,OLYMPUS CORPORATION,C750UZ,2005:03:09 18:35:28,,,2005:03:09 18:35:28,0.0,3.0,5.0,b'\x03',25.0,6.3,0.0,0.0,0.0,,,,,0.03333333333333333,2.8,0.0,200.0,,,,1.0,,0.0,b'\x00\x00\x00\x00\x00\x00\x00\x00                                                                                                                     ',0.0,0.0,b'\x01',5.0,"b'OLYMP\x00\x00\x00\x10\x00\x00\x02\x04\x00\x03\x00\x00\x00\xab\x03\x00\x00\x01\x02\x03\x00\x01\x00\x00\x00\x01\x00\x00\x00\x02\x02\x03\x00\x01\x00\x00\x00\x00\x00\x00\x00\x03\x02\x03\x00\x01\x00\x00\x00\x00\x00\x00\x00\x04\x02\x05\x00\x01\x00\x00\x00\xb7\x03\x00\x00\x05\x02\x05\x00\x01\x00\x00\x00\xbf\x03\x00\x00\x06\x02\x08\x00\x06\x00\x00\x00\xc7\x03\x00\x00\x07\x02\x02\x00\x08\x00\x00\x00\xd3\x03\x00\x00\x08\x02\x02\x004\x00\x00\x00\xdb\x03\x00\x00\t\x02\x07\x00 \x00\x00\x00\x0f\x04\x00\x00\x00\x03\x03\x00\x01\x00\x00\x00\x00\x00\x00\x00\x01\x03\x03\x00\x01\x00\x00\x00\x00\x00\x00\x00\x02\x03\x03\x00\x01\x00\x00\x00\x00\x00\x00\x00\x03\x03\x03\x00\x01\x00\x00\x00\x00\x00\x00\x00\x04\x03\x03\x00\x01\x00\x00\x00\x00\x00\x00\x00\x00\x0f\x07\x00\xee\x01\x00\x00/\x04\x00\x00\x01\xd2\x01\x17\x02\x00\x01\x02\xb0]\x00\x01\x03R\x005\x00\x11\x005\x00\x11\x00\x05\x00\t\x00\x01\x00 \x00\x00\x00\x00\x00\x00\x00 \x00\x01\x00\x00\x00\xf3\x01\x9b\x02\x13\x02\xbe\x03j\x00\x00\x01\x04\x02\x00\x01\xd2\x00\x00\x0b\x9d\r\x04\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x91\x00\x00\xce\x10\x00c\x10\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01{\x017\x00\x00\x00\x00\x00\x00\x00\x00\x10\x00\x00\xce\x11\x00\x00\x00\x01T\x01b\x01x\x01L\x01O\x017\x00\x00\x00\x00\x01W\x01d\x01{\x01M\x01P\x017\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00wwww\x0e!\x0e\x1e\x0e\x1e\x0f\x1e\r\x19d\x00W\x05\x00\x02\x00\x00 \t\x01\x00p\x082\x0fB@! \x00d\x19\x1e\x00c\x14 \x13\x1f\x01\xc2\x01/\x02:\x012\x00\x00\x00I\x00\x08\x00\x17\x01\xd2\x01\x17ffff\x00\x00\x00\x08\x00\x00\x00\t\x00\x00\x00\n\x00\x00\x00\x00\x00\x00\x00\x00                                                                                                                     \xff\x06\x00\x03\x01\x03\x00\x01\x00\x00\x00\x06\x00\x00\x00\x1a\x01\x05\x00\x01\x00\x00\x00\x06\x08\x00\x00\x1b\x01\x05\x00\x01\x00\x00\x00\x0e\x08\x00\x00(\x01\x03\x00\x01\x00\x00\x00\x02\x00\x00\x00\x01\x02\x04\x00\x01\x00\x00\x00\x16\x08\x00\x00\x02\x02\x04\x00\x01\x00\x00\x00\x07\x17\x00\x00\x00\x00\x00\x00H\x00\x00\x00\x01\x00\x00\x00H\x00\x00\x00\x01\x00\x00\x00\xff\xd8\xff\xdb\x00C\x00\n\x07\x07\x06\x07\x08\x08\x08\x08\n\x0e\x0b\n\n\x0b\x0e\r\r\x0e\x10\x18\x1f#\x18\x11\x16\x15\x1d+&!""\x1f""$%!)4)&/7941A0""%>>>;CID.7H<'",1.0,0.0,OLYMPUS DIGITAL CAMERA         ,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
